,X,brand_name,item_name,number_likes,condition,color,size,price,img_length,measurements,description,type
257,257,Reese Cooper,Reese Cooper Nylon Cargo Shorts,83,Gently Used,Black,32,$130 ,3,1,"Condition: Worn twice great condition
Size: 32
Shipping: Ships next day!
Feel free to ask any other questions!
No trades
ALL SALES FINAL",0
258,258,Reese Cooper,Reese Cooper Green Patch Pocket Sweatpants,45,New,Green,31,$155 ,7,0,"Brand new
Size tagged M
Measurements:
Waist: 13.5 inches (super elastic, fits me 32 waist perfectly. Should fit a 30 as well)
Inseam: 34 inches
Only BINDING offers will be replied
Ship within two business days after payment received",1
259,259,Reese Cooper,Reese Cooper Vintage Wash Denim,17,Gently Used,Indigo,30,$132 ,10,1,"Great fitting jeans with a beautiful wash
Quality Construction
Triple stitched on outseam, seat, and rear panels
Hemmed to 30.75” with original hem kept
Tagged Size 28 But fits 31 so listed as such",1
260,260,Reese Cooper,"Reese cooper AW18 ""Lone Pine"" Coordinate Denim Jeans",57,New,Blue,28,$150 ,6,1,"Reese cooper denim
Crazy details
Nice dark wash, straight leg
Belt loop on the back came detached, can easily be fixed",1
261,261,Reese Cooper,Reese Cooper Hitchhiking cargo pant,6,Gently Used,Brown,32,$210 ,3,1,"In amazing condition, no major flaws
Fits tts 32
Message me if you have any questions",1
262,262,Reese Cooper,Reese Cooper Nylon Cotton Panel Pant,16,Gently Used,Black,32,$375 ,6,1,"Only tried on at home
Retail $687
Harrods exclusive from AW 2020
(Reese Cooper released a NEW version this season with two waist pockets)
***This one doesn’t have the waist pockets but only two cargo pockets.
Size 32
Fit please refer to last pic
Only binding offers will be responded
Ship out within one business day of payment",1
263,263,Reese Cooper,REESE COOPER denim,32,New,White,30,$130 ,7,0,"reese cooper fever dream denim
rare/early reese piece
worn a few times - no flaws
negotiable",1
264,264,Reese Cooper,Reese Cooper Sage Patch Pocket Sweatpants,16,New,Sage,34,$200 ,6,0,"Brand new
Size tagged XL
Fits 33-35
Inseam around 33
Only BINDING offers will be replied
Ship within two business days after payment received",1
265,265,Reese Cooper,S/S 19’ Fever Dreams Cargo Shorts l Black,52,New,Black,34,$170 ,3,1,100% Authentic. Tagged size 34 but fit a tad smaller. Black colorway. New with tags.,0
266,266,Reese Cooper,Brushed Cotton Canvas Cargo Pants,18,Gently Used,Sage,28,$248 ,7,1,"Purchased from Reese Cooper website
Super unique pants with a multitude of ways to construct and wear them
Fairly lightweight
From s/s21 collection “River Runs Through”
Long rise, somewhat shorter inseam
Key ring on belt loop for your keys and such
Strings to tighten pants at the knee/thigh
Could fit a 28-slimmer 30
While I do love these, they just don’t fit how I would like them to
Price negotiable if given a fair offer
Will answer any questions or concerns regarding the pants!
Will ship out within 2-3 days after purchasing",1
267,267,Reese Cooper,REESE COOPER KHAKI WORK CARGO PANTS,5,Gently Used,Tan,32,$225 ,12,1,"AW18 REESE COOPER KHAKI WORK CARGO PANTS
Worn maybe 2/3 times, not my size.
Few very small white paint splatters pointed out in pictures!
The quality on these are INSANE!
So many fine details!
Please feel free to reach out with any questions!",1
268,268,Reese Cooper,Reese Cooper Packing Slip Denim Jeans,3,New,Beige,32,$170 ,6,0,"Condition: Brand New
Size: 32
Shipping: Ships next day!
Feel free to ask any other questions!
No trades
ALL SALES FINAL",1
269,269,Reese Cooper,REESE COOPER CARGO PANTS BEIGE,8,New,Beige,32,$230 ,5,0,"NEVER worn
tag is still on",1
